站点编号,小时(0-23),日期类型,预测借出量,预测归还量
S001,0,工作日,1.2,0.0
S001,1,工作日,0.0,1.2
S001,2,工作日,2.6,1.0
S001,3,工作日,1.0,1.6
S001,4,工作日,0.0,0.6
S001,5,工作日,0.6,0.8
S001,6,工作日,11.2,10.6
S001,7,工作日,20.0,20.0
S001,8,工作日,20.0,20.0
S001,9,工作日,20.0,20.0
S001,10,工作日,10.8,9.6
S001,11,工作日,17.0,17.8
S001,12,工作日,18.2,18.2
S001,13,工作日,18.0,16.4
S001,14,工作日,9.6,10.2
S001,15,工作日,11.4,9.8
S001,16,工作日,10.8,11.8
S001,17,工作日,20.0,20.0
S001,18,工作日,20.0,20.0
S001,19,工作日,20.0,20.0
S001,20,工作日,10.4,11.4
S001,21,工作日,10.0,9.2
S001,22,工作日,10.0,10.6
S001,23,工作日,9.8,9.0
S002,0,工作日,0.8,0.6
S002,1,工作日,2.0,1.0
S002,2,工作日,0.4,0.4
S002,3,工作日,1.0,2.6
S002,4,工作日,0.6,1.4
S002,5,工作日,0.2,0.8
S002,6,工作日,10.2,8.4
S002,7,工作日,37.6,38.0
S002,8,工作日,34.8,34.2
S002,9,工作日,35.4,31.0
S002,10,工作日,10.6,10.6
S002,11,工作日,19.2,17.8
S002,12,工作日,16.2,18.6
S002,13,工作日,19.4,19.0
S002,14,工作日,10.0,10.8
S002,15,工作日,9.6,11.8
S002,16,工作日,9.8,8.4
S002,17,工作日,29.0,28.4
S002,18,工作日,30.4,31.8
S002,19,工作日,29.8,28.0
S002,20,工作日,10.4,9.6
S002,21,工作日,11.0,11.4
S002,22,工作日,11.4,9.6
S002,23,工作日,10.8,9.0
S003,0,工作日,0.8,0.8
S003,1,工作日,1.2,1.0
S003,2,工作日,1.0,0.2
S003,3,工作日,1.6,1.8
S003,4,工作日,1.4,2.0
S003,5,工作日,1.2,0.8
S003,6,工作日,9.2,8.4
S003,7,工作日,35.4,37.4
S003,8,工作日,34.6,34.2
S003,9,工作日,34.8,34.8
S003,10,工作日,10.2,9.0
S003,11,工作日,17.8,19.2
S003,12,工作日,17.8,19.0
S003,13,工作日,17.8,17.4
S003,14,工作日,9.0,9.6
S003,15,工作日,10.4,10.4
S003,16,工作日,10.0,10.4
S003,17,工作日,28.6,24.2
S003,18,工作日,28.4,27.8
S003,19,工作日,30.2,29.6
S003,20,工作日,10.8,9.4
S003,21,工作日,8.8,10.6
S003,22,工作日,10.0,9.8
S003,23,工作日,8.8,9.0
S004,0,工作日,1.6,1.6
S004,1,工作日,1.0,0.6
S004,2,工作日,1.6,0.6
S004,3,工作日,0.4,0.8
S004,4,工作日,0.2,1.0
S004,5,工作日,0.6,0.8
S004,6,工作日,11.2,10.2
S004,7,工作日,16.0,16.0
S004,8,工作日,16.0,16.0
S004,9,工作日,16.0,16.0
S004,10,工作日,11.4,8.4
S004,11,工作日,15.8,16.0
S004,12,工作日,15.0,16.0
S004,13,工作日,16.0,15.8
S004,14,工作日,8.8,9.8
S004,15,工作日,9.6,10.8
S004,16,工作日,9.4,10.8
S004,17,工作日,16.0,16.0
S004,18,工作日,16.0,16.0
S004,19,工作日,16.0,16.0
S004,20,工作日,9.0,10.0
S004,21,工作日,10.2,9.8
S004,22,工作日,10.0,8.8
S004,23,工作日,9.8,10.2
S005,0,工作日,1.2,1.0
S005,1,工作日,1.4,0.6
S005,2,工作日,1.2,0.4
S005,3,工作日,1.6,0.8
S005,4,工作日,1.2,1.4
S005,5,工作日,0.8,1.4
S005,6,工作日,8.8,10.8
S005,7,工作日,20.0,20.0
S005,8,工作日,20.0,20.0
S005,9,工作日,20.0,20.0
S005,10,工作日,9.2,9.6
S005,11,工作日,18.8,18.8
S005,12,工作日,18.0,16.8
S005,13,工作日,18.0,17.4
S005,14,工作日,9.8,11.0
S005,15,工作日,10.8,10.6
S005,16,工作日,10.2,12.8
S005,17,工作日,20.0,20.0
S005,18,工作日,20.0,20.0
S005,19,工作日,20.0,20.0
S005,20,工作日,8.4,10.0
S005,21,工作日,9.6,9.8
S005,22,工作日,9.8,9.4
S005,23,工作日,10.4,11.4
S006,0,工作日,1.8,1.0
S006,1,工作日,1.8,2.2
S006,2,工作日,1.8,1.0
S006,3,工作日,0.8,0.8
S006,4,工作日,0.2,0.2
S006,5,工作日,1.4,1.8
S006,6,工作日,10.4,9.6
S006,7,工作日,20.0,20.0
S006,8,工作日,20.0,20.0
S006,9,工作日,20.0,20.0
S006,10,工作日,9.8,9.6
S006,11,工作日,19.0,16.8
S006,12,工作日,16.0,18.4
S006,13,工作日,17.4,17.8
S006,14,工作日,9.4,11.0
S006,15,工作日,9.4,10.4
S006,16,工作日,9.8,10.2
S006,17,工作日,20.0,20.0
S006,18,工作日,20.0,20.0
S006,19,工作日,20.0,20.0
S006,20,工作日,9.4,9.0
S006,21,工作日,10.4,9.6
S006,22,工作日,11.6,9.4
S006,23,工作日,9.6,10.6
S007,0,工作日,2.0,0.2
S007,1,工作日,2.6,0.6
S007,2,工作日,0.6,0.8
S007,3,工作日,0.4,0.8
S007,4,工作日,0.2,1.0
S007,5,工作日,2.0,1.4
S007,6,工作日,10.0,9.8
S007,7,工作日,20.0,20.0
S007,8,工作日,20.0,20.0
S007,9,工作日,20.0,20.0
S007,10,工作日,11.0,9.0
S007,11,工作日,17.2,18.4
S007,12,工作日,18.4,17.4
S007,13,工作日,18.2,17.2
S007,14,工作日,11.2,10.2
S007,15,工作日,9.8,8.8
S007,16,工作日,9.2,10.2
S007,17,工作日,20.0,20.0
S007,18,工作日,20.0,20.0
S007,19,工作日,20.0,20.0
S007,20,工作日,10.8,10.0
S007,21,工作日,11.0,9.0
S007,22,工作日,9.2,10.0
S007,23,工作日,11.0,11.0
S008,0,工作日,1.2,1.0
S008,1,工作日,0.8,1.4
S008,2,工作日,0.2,0.8
S008,3,工作日,2.0,0.2
S008,4,工作日,0.6,1.2
S008,5,工作日,0.6,1.6
S008,6,工作日,11.4,9.0
S008,7,工作日,16.0,16.0
S008,8,工作日,16.0,16.0
S008,9,工作日,16.0,16.0
S008,10,工作日,9.8,10.0
S008,11,工作日,15.8,15.8
S008,12,工作日,16.0,15.8
S008,13,工作日,15.6,15.4
S008,14,工作日,10.4,12.6
S008,15,工作日,10.2,12.4
S008,16,工作日,9.8,10.6
S008,17,工作日,16.0,16.0
S008,18,工作日,16.0,16.0
S008,19,工作日,16.0,16.0
S008,20,工作日,10.0,11.0
S008,21,工作日,11.0,10.0
S008,22,工作日,8.6,8.4
S008,23,工作日,9.8,10.6
S009,0,工作日,0.6,0.0
S009,1,工作日,1.0,0.4
S009,2,工作日,0.8,0.0
S009,3,工作日,0.0,0.8
S009,4,工作日,0.8,0.6
S009,5,工作日,1.6,0.6
S009,6,工作日,8.0,7.8
S009,7,工作日,24.4,23.0
S009,8,工作日,23.0,27.6
S009,9,工作日,25.2,24.2
S009,10,工作日,7.2,7.8
S009,11,工作日,13.6,12.2
S009,12,工作日,12.2,12.0
S009,13,工作日,13.6,12.4
S009,14,工作日,6.2,7.4
S009,15,工作日,5.4,6.4
S009,16,工作日,7.0,6.4
S009,17,工作日,21.0,22.4
S009,18,工作日,20.8,22.4
S009,19,工作日,21.8,19.8
S009,20,工作日,7.0,5.6
S009,21,工作日,6.8,6.4
S009,22,工作日,6.8,7.2
S009,23,工作日,6.8,6.2
S010,0,工作日,0.4,0.4
S010,1,工作日,1.2,0.8
S010,2,工作日,0.8,1.0
S010,3,工作日,2.0,0.0
S010,4,工作日,0.8,0.4
S010,5,工作日,3.6,0.4
S010,6,工作日,6.8,6.0
S010,7,工作日,20.0,19.8
S010,8,工作日,20.0,19.2
S010,9,工作日,20.0,20.0
S010,10,工作日,8.8,6.8
S010,11,工作日,14.8,11.8
S010,12,工作日,13.0,11.6
S010,13,工作日,12.0,13.0
